Date,Portfolio_Value
2023-09-25,18136.76122570038
2023-09-26,18109.145211219788
2023-09-27,18191.93865299225
2023-09-28,18235.318902015686
2023-09-29,18250.67888736725
2023-10-02,18356.104630470276
2023-10-03,18231.412384986877
2023-10-04,18404.309210777283
2023-10-05,18435.113703727722
2023-10-06,18621.74711894989
2023-10-09,18601.694186210632
2023-10-10,18677.516806602478
2023-10-11,18719.567801475525
2023-10-12,18723.067801475525
2023-10-13,18723.067801475525
2023-10-16,18723.067801475525
2023-10-17,18723.067801475525
2023-10-18,18723.067801475525
2023-10-19,18723.067801475525
2023-10-20,18723.067801475525
2023-10-23,18723.067801475525
2023-10-24,18723.067801475525
2023-10-25,18723.067801475525
2023-10-26,18703.04780483246
2023-10-27,18863.84984111786
2023-10-30,18908.481245994568
2023-10-31,18915.989066123962
2023-11-01,19155.805998802185
2023-11-02,19361.599724769592
2023-11-03,19387.254342079163
2023-11-06,19449.596261024475
2023-11-07,19475.416291236877
2023-11-08,19503.79409122467
2023-11-09,19450.442482948303
2023-11-10,19546.127091407776
2023-11-13,19637.02418613434
2023-11-14,19818.925797462463
2023-11-15,19826.87098789215
2023-11-16,19845.22438144684
2023-11-17,19845.22438144684
2023-11-20,19845.22438144684
2023-11-21,19845.22438144684
2023-11-22,19845.22438144684
2023-11-24,19845.22438144684
2023-11-27,19821.564447402954
2023-11-28,19831.574416160583
2023-11-29,19856.144371032715
2023-11-30,19833.394371032715
2023-12-01,19958.97438144684
2023-12-04,19958.97438144684
2023-12-05,19958.97438144684
2023-12-06,19954.79988193512
2023-12-07,20034.086270332336
2023-12-08,20092.893223762512
2023-12-11,19979.2566614151
2023-12-12,20036.226823806763
2023-12-13,20118.491317749023
2023-12-14,20251.261365890503
2023-12-15,20294.973585128784
2023-12-18,20398.116437911987
2023-12-19,20429.37727165222
2023-12-20,20446.16163444519
2023-12-21,20466.819135665894
2023-12-22,20466.819135665894
2023-12-26,20466.819135665894
2023-12-27,20488.23051261902
2023-12-28,20486.92680168152
2023-12-29,20491.015546798706
2024-01-02,20509.345624923706
2024-01-03,20540.55521965027
2024-01-04,20564.81156730652
2024-01-05,20625.863355636597
2024-01-08,20843.52036857605
2024-01-09,20904.160661697388
2024-01-10,21038.87861442566
2024-01-11,21052.30760383606
2024-01-12,21066.98963356018
2024-01-16,21102.08410835266
2024-01-17,21070.7183303833
2024-01-18,21179.599641799927
2024-01-19,21335.03328704834
2024-01-22,21446.542360305786
2024-01-23,21466.124849319458
2024-01-24,21497.361360549927
2024-01-25,21497.361360549927
2024-01-26,21520.33328437805
2024-01-29,21616.27416419983
2024-01-30,21597.539400100708
2024-01-31,21490.187437057495
2024-02-01,21616.187662124634
2024-02-02,22148.508262634277
2024-02-05,22204.07744884491
2024-02-06,22251.353861808777
2024-02-07,22323.425318717957
2024-02-08,22334.15700817108
2024-02-09,22419.371760368347
2024-02-12,22383.41739177704
2024-02-13,22367.517535209656
2024-02-14,22432.85055065155
2024-02-15,22503.2904920578
2024-02-16,22503.2904920578
2024-02-20,22430.624094963074
2024-02-21,22390.29504108429
2024-02-22,22666.84456062317
2024-02-23,22625.02454185486
2024-02-26,22749.604509353638
2024-02-27,22745.27078437805
2024-02-28,22743.803552627563
2024-02-29,22768.4243183136
2024-03-01,22822.23607826233
2024-03-04,22872.496919631958
2024-03-05,22872.496919631958
2024-03-06,23000.37256336212
2024-03-07,23035.88770008087
2024-03-08,23048.162907600403
2024-03-11,23075.09735584259
2024-03-12,23084.988896369934
2024-03-13,23100.36298084259
2024-03-14,23139.81103992462
2024-03-15,23125.48877429962
2024-03-18,23332.504101753235
2024-03-19,23344.43401813507
2024-03-20,23386.735867500305
2024-03-21,23409.35971546173
2024-03-22,23457.582509040833
2024-03-25,23477.262490272522
2024-03-26,23423.142424583435
2024-03-27,23477.262490272522
2024-03-28,23531.382438659668
2024-04-01,23548.604606628418
2024-04-02,23566.57302093506
2024-04-03,23610.290550231934
2024-04-04,23647.336952209473
2024-04-05,23694.333290100098
2024-04-08,23778.938331604004
2024-04-09,23807.246948242188
2024-04-10,23833.37368774414
2024-04-11,23957.77882385254
2024-04-12,23957.77882385254
2024-04-15,23957.77882385254
2024-04-16,23957.77882385254
2024-04-17,23957.77882385254
2024-04-18,23975.05876159668
2024-04-19,23921.29881286621
2024-04-22,24037.21223449707
2024-04-23,24229.179405212402
2024-04-24,24410.658218860626
2024-04-25,24420.511670589447
2024-04-26,24768.40639925003
2024-04-29,25025.868557453156
2024-04-30,25034.99789094925
2024-05-01,25108.611523151398
2024-05-02,25263.94172334671
2024-05-03,25448.628994464874
2024-05-06,25510.833706378937
2024-05-07,25538.98960542679
2024-05-08,25565.239538669586
2024-05-09,25638.739552021027
2024-05-10,25660.218922138214
2024-05-13,25697.473484516144
2024-05-14,25760.928265094757
2024-05-15,25842.86895418167
2024-05-16,25818.154232501984
2024-05-17,25803.069622516632
2024-05-20,25850.512463092804
2024-05-21,25994.236721515656
2024-05-22,25986.392483234406
2024-05-23,26145.601955890656
2024-05-24,26190.971432209015
2024-05-28,26317.25796175003
2024-05-29,26317.25796175003
2024-05-30,26243.766216754913
2024-05-31,26229.02524995804
2024-06-03,26357.2817196846
2024-06-04,26364.973630428314
2024-06-05,26492.2877202034
2024-06-06,26460.8501162529
2024-06-07,26511.857735157013
2024-06-10,26587.994988918304
2024-06-11,26678.81455373764
2024-06-12,26790.536683559418
2024-06-13,26921.058030605316
2024-06-14,26885.37797689438
2024-06-17,26960.81804037094
2024-06-18,26960.81804037094
2024-06-20,26983.038636684418
2024-06-21,27076.241120815277
2024-06-24,27024.521562099457
2024-06-25,27231.381692409515
2024-06-26,27463.532368659973
2024-06-27,27544.508125305176
2024-06-28,27523.508766174316
2024-07-01,27607.85063457489
2024-07-02,27843.596323013306
2024-07-03,28018.61380672455
2024-07-05,28165.32329082489
2024-07-08,28255.27282810211
2024-07-09,28350.62403535843
2024-07-10,28484.549950122833
2024-07-11,28484.549950122833
2024-07-12,28484.549950122833
2024-07-15,28484.549950122833
2024-07-16,28484.549950122833
2024-07-17,28484.549950122833
2024-07-18,28484.549950122833
2024-07-19,28484.549950122833
2024-07-22,28626.8999710083
2024-07-23,28626.8999710083
2024-07-24,28626.8999710083
2024-07-25,28720.889920711517
2024-07-26,28824.6594581604
2024-07-29,28910.799030303955
2024-07-30,28900.760334014893
2024-07-31,28947.130084991455
2024-08-01,29038.395832061768
2024-08-02,29038.395832061768
2024-08-05,28988.958698272705
2024-08-06,29150.797077178955
2024-08-07,29042.7678565979
2024-08-08,29504.312695026398
2024-08-09,29622.849376678467
2024-08-12,29615.610183238983
2024-08-13,29878.160894870758
2024-08-14,29853.04315805435
2024-08-15,30090.9434800148
2024-08-16,30058.763517856598
2024-08-19,30072.28350687027
2024-08-20,30063.5235581398
2024-08-21,30171.043547153473
2024-08-22,30171.043547153473
2024-08-23,30171.043547153473
2024-08-26,30171.043547153473
2024-08-27,30171.043547153473
2024-08-28,30171.043547153473
2024-08-29,30176.34353494644
2024-08-30,30254.64355325699
2024-09-03,30219.54360818863
2024-09-04,30307.643583774567
2024-09-05,30382.917692661285
2024-09-06,30228.363859653473
2024-09-09,30354.52365732193
2024-09-10,30623.371097564697
2024-09-11,30950.501802444458
2024-09-12,31057.302585601807
2024-09-13,31156.47100830078
2024-09-16,31172.014894485474
2024-09-17,31252.336360931396
2024-09-18,31191.04083251953
2024-09-19,31415.492624282837
2024-09-20,31500.179569244385
2024-09-23,31586.328456878662
2024-09-24,31710.098620414734
2024-09-25,31590.848680496216
2024-09-26,31704.11874485016
2024-09-27,32083.61865711212
2024-09-30,32103.87500476837
2024-10-01,32044.48595905304
2024-10-02,32248.793055534363
2024-10-03,32356.488444328308
2024-10-04,32454.02352809906
2024-10-07,32478.96088695526
2024-10-08,32665.61621761322
2024-10-09,32675.92491054535
2024-10-10,32702.242217063904
2024-10-11,32882.35777378082
2024-10-14,32909.71782016754
2024-10-15,32856.51776218414
2024-10-16,33201.65750980377
2024-10-17,33248.22163295746
2024-10-18,33368.69631290436
2024-10-21,33642.39867591858
2024-10-22,33663.97863197327
2024-10-23,33593.238512039185
2024-10-24,34128.27262496948
2024-10-25,34166.35467147827
2024-10-28,34195.84914779663
2024-10-29,34274.21404647827
2024-10-30,34372.19923019409
2024-10-31,34281.1160697937
2024-11-01,34470.28291606903
2024-11-04,34349.0044631958
2024-11-05,34600.23568153381
2024-11-06,35313.912717819214
2024-11-07,35885.34112358093
2024-11-08,36178.41113090515
2024-11-11,36086.97109794617
2024-11-12,36049.23108100891
2024-11-13,36337.23108100891
2024-11-14,36222.87109565735
2024-11-15,36470.831117630005
2024-11-18,36359.99106025696
2024-11-19,36511.61105155945
2024-11-20,36636.54867362976
2024-11-21,36845.66085624695
2024-11-22,36839.96499443054
2024-11-25,36940.905225753784
2024-11-26,37150.76726722717
2024-11-27,37144.78162765503
2024-11-29,37481.81000137329
2024-12-02,37658.01343154907
2024-12-03,37735.3157119751
2024-12-04,37983.59524536133
2024-12-05,38134.12396621704
2024-12-06,38317.88605117798
2024-12-09,38323.41977310181
2024-12-10,38496.95550918579
2024-12-11,38670.57012748718
2024-12-12,38677.29012107849
2024-12-13,38838.570207595825
2024-12-16,39229.590185165405
2024-12-17,39197.397497177124
2024-12-18,39167.80399131775
2024-12-19,39213.855768203735
2024-12-20,39567.29845237732
2024-12-23,39666.67680931091
2024-12-24,39666.67680931091
2024-12-26,39666.67680931091
2024-12-27,39666.67680931091
2024-12-30,39666.67680931091
