date,symbol,type,shares,price,value,pnl,pnl_pct
2023-06-10,MATIC/USD,SELL,1332,0.6119580268859863,815.1280918121338,-204.1769256591797,-0.200309938791139
2023-06-10,SOL/USD,SELL,52,15.65610122680664,814.1172637939453,-89.62712097167969,-0.0991730875262073
2023-06-10,ADA/USD,SELL,3114,0.2761940062046051,860.0681353211403,-59.81060028076172,-0.0650200922859968
2023-06-10,BNB/USD,BUY,3,239.08908081054688,717.2672424316406,,
2023-06-10,SOL/USD,BUY,50,15.65610122680664,782.805061340332,,
2023-06-10,ADA/USD,BUY,2848,0.2761940062046051,786.6005296707153,,
2023-06-10,AVAX/USD,BUY,67,11.680257797241211,782.5772724151611,,
2023-06-10,DOT/USD,BUY,173,4.526294231414795,783.0489020347595,,
2023-06-14,SOL/USD,SELL,50,14.486572265625,724.32861328125,-58.47644805908203,-0.0747011624566628
2023-06-14,SOL/USD,BUY,59,14.486572265625,854.707763671875,,
2023-06-15,ADA/USD,SELL,2848,0.26195698976516724,746.0535068511963,-40.54702281951904,-0.05154715931413462
2023-06-15,ADA/USD,BUY,3221,0.26195698976516724,843.7634640336037,,
2023-06-19,SOL/USD,SELL,59,16.073041915893555,948.3094730377197,93.60170936584473,0.10951311470920336
2023-06-21,AVAX/USD,SELL,67,12.917662620544434,865.483395576477,82.90612316131592,0.10593985550520027
2023-06-22,ADA/USD,SELL,3221,0.2903130054473877,935.0981905460358,91.3347265124321,0.10824683742029699
2023-06-23,DOT/USD,SELL,173,5.100214958190918,882.3371877670288,99.28828573226929,0.1267970435489633
2023-07-13,XRP/USD,BUY,1685,0.8153650164604187,1373.8900527358055,,
2023-07-14,XRP/USD,SELL,1685,0.7191569805145264,1211.779512166977,-162.11054056882858,-0.11799382362949672
2023-07-14,XRP/USD,BUY,1624,0.7191569805145264,1167.9109363555908,,
2023-07-14,AVAX/USD,BUY,79,14.644426345825195,1156.9096813201904,,
2023-07-15,XRP/USD,SELL,1624,0.7132790088653564,1158.3651103973389,-9.545825958251953,-0.00817341944586908
2023-07-15,AVAX/USD,SELL,79,14.834538459777832,1171.9285383224487,15.0188570022583,0.01298187511502173
2023-07-25,BNB/USD,SELL,3,237.80856323242188,713.4256896972656,-3.841552734375,-0.005355817897596404
2023-08-15,AVAX/USD,BUY,123,11.806095123291016,1452.149700164795,,
2023-08-15,DOT/USD,BUY,302,4.812483787536621,1453.3701038360596,,
2023-08-15,MATIC/USD,BUY,2282,0.6386299729347229,1457.3535982370377,,
2023-08-16,BNB/USD,BUY,3,231.86874389648438,695.6062316894531,,
2023-08-16,ADA/USD,BUY,2925,0.2745319902896881,803.0060715973377,,
2023-08-17,AVAX/USD,SELL,123,10.590560913085938,1302.6389923095703,-149.5107078552246,-0.1029581921466207
2023-08-17,DOT/USD,SELL,302,4.437963962554932,1340.2651166915894,-113.10498714447021,-0.07782256346538176
2023-08-17,MATIC/USD,SELL,2282,0.5740789771080017,1310.04822576046,-147.30537247657776,-0.10107730385732965
2023-08-17,BNB/USD,SELL,3,218.5358428955078,655.6075286865234,-39.99870300292969,-0.05750193310629617
2023-08-17,ADA/USD,SELL,2925,0.2559579908847809,748.6771233379841,-54.32894825935364,-0.0676569582485007
2023-08-17,BNB/USD,BUY,2,218.5358428955078,437.0716857910156,,
2023-08-17,XRP/USD,BUY,1140,0.5071420073509216,578.1418883800507,,
2023-08-17,ADA/USD,BUY,2259,0.2559579908847809,578.20910140872,,
2023-08-17,AVAX/USD,BUY,54,10.590560913085938,571.8902893066406,,
2023-08-17,DOT/USD,BUY,130,4.437963962554932,576.9353151321411,,
2023-08-25,AVAX/USD,SELL,54,10.053031921386719,542.8637237548828,-29.026565551757812,-0.05075547896948836
2023-08-25,AVAX/USD,BUY,96,10.053031921386719,965.091064453125,,
2023-09-01,DOT/USD,SELL,130,4.215832233428955,548.0581903457642,-28.877124786376953,-0.050052621202019754
2023-09-10,AVAX/USD,SELL,96,9.474143028259277,909.5177307128906,-55.573333740234375,-0.05758351287992223
2023-09-10,SOL/USD,BUY,54,18.248830795288086,985.4368629455566,,
2023-09-10,AVAX/USD,BUY,104,9.474143028259277,985.3108749389648,,
2023-09-11,BNB/USD,SELL,2,206.03421020507812,412.06842041015625,-25.003265380859375,-0.05720632608723733
2023-09-11,XRP/USD,SELL,1140,0.474373996257782,540.7863557338715,-37.3555326461792,-0.06461308788894216
2023-09-11,ADA/USD,SELL,2259,0.24187299609184265,546.3910981714725,-31.818003237247467,-0.05502854098928512
2023-09-11,BNB/USD,BUY,4,206.03421020507812,824.1368408203125,,
2023-09-11,XRP/USD,BUY,1750,0.474373996257782,830.1544934511185,,
2023-09-11,ADA/USD,BUY,3432,0.24187299609184265,830.108122587204,,
2023-09-20,SOL/USD,SELL,54,20.3049373626709,1096.4666175842285,111.02975463867188,0.11267059191067225
2023-09-21,AVAX/USD,SELL,104,8.826976776123047,918.0055847167969,-67.30529022216797,-0.06830868503946758
2023-10-01,XRP/USD,SELL,1750,0.5242040157318115,917.3570275306702,87.2025340795517,0.10504374157758672
2023-10-09,BNB/USD,SELL,4,205.75096130371094,823.0038452148438,-1.13299560546875,-0.001374766360815774
2023-10-10,ADA/USD,SELL,3432,0.24914099276065826,855.0518871545792,24.943764567375183,0.03004881399019777
2023-10-10,DOT/USD,BUY,326,3.812432050704956,1242.8528485298157,,
2023-10-21,LINK/USD,BUY,133,8.90384578704834,1184.2114896774292,,
2023-10-22,LINK/USD,SELL,133,10.132683753967285,1347.646939277649,163.43544960021973,0.13801204516664364
2023-10-23,DOT/USD,SELL,326,4.348272800445557,1417.5369329452515,174.6840844154358,0.14055089838034449
2023-11-21,BNB/USD,BUY,6,226.4864044189453,1358.9184265136719,,
2023-12-12,BNB/USD,SELL,6,254.49497985839844,1526.9698791503906,168.05145263671875,0.12366559269334333
2024-01-03,XRP/USD,BUY,2488,0.5825799703598022,1449.458966255188,,
2024-01-07,XRP/USD,SELL,2488,0.5517410039901733,1372.7316179275513,-76.72734832763672,-0.052935164163956265
2024-01-07,XRP/USD,BUY,2233,0.5517410039901733,1232.037661910057,,
2024-01-22,AVAX/USD,BUY,42,29.48309326171875,1238.2899169921875,,
2024-01-23,XRP/USD,SELL,2233,0.5177369713783264,1156.106657087803,-75.93100482225418,-0.061630425083383046
2024-01-23,XRP/USD,BUY,2062,0.5177369713783264,1067.573634982109,,
2024-01-27,AVAX/USD,SELL,42,33.261962890625,1397.00244140625,158.7125244140625,0.12817073145485675
2024-01-30,XRP/USD,SELL,2062,0.5106980204582214,1053.0593181848526,-14.51431679725647,-0.013595611882546826
2024-04-12,ADA/USD,BUY,2876,0.5035750269889832,1448.2817776203156,,
2024-04-12,AVAX/USD,BUY,36,39.41774368286133,1419.0387725830078,,
2024-04-12,DOT/USD,BUY,200,7.2410888671875,1448.2177734375,,
2024-04-12,MATIC/USD,BUY,1889,0.7666569948196411,1448.215063214302,,
2024-04-12,LINK/USD,BUY,95,15.157100677490234,1439.9245643615723,,
2024-04-13,ADA/USD,SELL,2876,0.4479080140590668,1288.183448433876,-160.0983291864395,-0.11054363291755177
2024-04-13,AVAX/USD,SELL,36,34.07841110229492,1226.8227996826172,-192.21597290039062,-0.13545505352930504
