symbol,order_type,quantity,price,timestamp,commission,pnl
TSLA,BUY,2,440.1300048828125,2024-12-18,0.0,0.0
V,BUY,3,307.59527587890625,2024-12-18,0.0,0.0
IONQ,BUY,20,37.5,2024-12-18,0.0,0.0
MSFT,SELL,3,434.6416931152344,2024-12-19,0.0,-1.074188232421875
AMZN,SELL,5,223.2899932861328,2024-12-19,0.0,13.849945068359375
TSLA,BUY,2,436.1700134277344,2024-12-19,0.0,0.0
IONQ,SELL,20,37.7599983215332,2024-12-19,0.0,5.1999664306640625
MSFT,BUY,2,434.2140808105469,2024-12-20,0.0,0.0
TSLA,BUY,2,421.05999755859375,2024-12-20,0.0,0.0
V,SELL,3,315.4693298339844,2024-12-20,0.0,23.622161865234375
MSFT,SELL,2,432.8714294433594,2024-12-23,0.0,-2.685302734375
TSLA,SELL,6,430.6000061035156,2024-12-23,0.0,-11.1199951171875
GOOGL,SELL,9,190.61856079101562,2024-12-30,0.0,-37.49757385253906
AAPL,BUY,7,249.29251098632812,2024-12-31,0.0,0.0
AAPL,SELL,7,242.75209045410156,2025-01-02,0.0,-45.78294372558594
META,BUY,3,616.4500732421875,2025-01-07,0.0,0.0
AAPL,BUY,6,235.78363037109375,2025-01-10,0.0,0.0
V,BUY,4,304.7554626464844,2025-01-13,0.0,0.0
AAPL,SELL,6,232.22967529296875,2025-01-14,0.0,-21.32373046875
META,SELL,3,592.8651123046875,2025-01-14,0.0,-70.7548828125
NVDA,BUY,12,136.21034240722656,2025-01-15,0.0,0.0
V,SELL,4,315.0126037597656,2025-01-16,0.0,41.028564453125
LLY,SELL,2,720.3470458984375,2025-01-17,0.0,-126.2581787109375
MSFT,BUY,4,426.1583251953125,2025-01-21,0.0,0.0
META,BUY,2,615.0234375,2025-01-21,0.0,0.0
MSFT,SELL,4,443.7615966796875,2025-01-22,0.0,70.4130859375
META,SELL,2,634.966796875,2025-01-23,0.0,39.88671875
GOOGL,BUY,9,199.5594024658203,2025-01-24,0.0,0.0
NVDA,SELL,12,118.39421081542969,2025-01-27,0.0,-213.7935791015625
GOOGL,SELL,9,203.3570098876953,2025-01-31,0.0,34.178466796875
V,BUY,6,339.3894348144531,2025-01-31,0.0,0.0
V,SELL,6,343.381103515625,2025-02-03,0.0,23.95001220703125
