date,portfolio_value,cash,positions_value,total_return,num_positions,num_trades
2024-09-09,9658.46939086914,3582.361053466797,6076.108337402344,-0.03415306091308594,3,23
2024-09-10,9783.670593261719,3582.361053466797,6201.309539794922,-0.021632940673828125,3,23
2024-09-11,9932.786682128906,3582.361053466797,6350.425628662109,-0.006721331787109375,3,23
2024-09-12,10014.723175048828,6948.361053466797,3066.3621215820312,0.0014723175048828125,2,24
2024-09-13,10035.12661743164,7726.661651611328,2308.4649658203125,0.0035126617431640627,2,26
2024-09-16,10009.467864990234,5372.788513183594,4636.679351806641,0.0009467864990234375,3,28
2024-09-17,10003.518608093262,6976.705261230469,3026.813346862793,0.0003518608093261719,2,29
2024-09-18,9993.497337341309,6976.705261230469,3016.79207611084,-0.0006502662658691407,2,29
2024-09-19,10109.783294677734,6928.785675048828,3180.9976196289062,0.010978329467773438,2,31
2024-09-20,10079.412315368652,4947.495895385742,5131.91641998291,0.007941231536865235,3,33
2024-09-23,10105.31371307373,4947.495895385742,5157.817817687988,0.010531371307373047,3,33
2024-09-24,10053.251853942871,7110.233932495117,2943.017921447754,0.0053251853942871095,2,34
2024-09-25,10087.868438720703,7110.233932495117,2977.634506225586,0.008786843872070313,2,34
2024-09-26,10101.533981323242,7110.233932495117,2991.300048828125,0.010153398132324219,2,34
2024-09-27,10063.287826538086,7110.233932495117,2953.0538940429688,0.006328782653808594,2,34
2024-09-30,10089.791809082031,4608.1034870147705,5481.688322067261,0.008979180908203125,4,38
2024-10-01,9916.085861206055,5800.459035873413,4115.626825332642,-0.008391413879394531,2,41
2024-10-02,10241.497979164124,5800.459035873413,4441.03894329071,0.024149797916412353,2,41
2024-10-03,10315.930753707886,5800.459035873413,4515.471717834473,0.03159307537078857,2,41
2024-10-04,10364.311944007874,5800.459035873413,4563.85290813446,0.036431194400787355,2,41
2024-10-07,10336.939878463745,5800.459035873413,4536.480842590332,0.033693987846374514,2,41
2024-10-08,10553.18756389618,6811.287923812866,3741.899640083313,0.05531875638961792,2,43
2024-10-09,10535.243847846985,4610.6722621917725,5924.571585655212,0.05352438478469849,3,45
2024-10-10,10607.37239933014,3927.39772605896,6679.974673271179,0.060737239933013915,4,46
2024-10-11,10885.922868728638,7008.13768196106,3877.785186767578,0.08859228687286377,3,47
2024-10-14,10918.557390213013,5694.251817703247,5224.305572509766,0.09185573902130127,3,48
