portfolio_value,cash,positions_value,total_return,num_positions,num_trades
12626.970326423645,5895.772603034973,6731.197723388672,0.2626970326423645,6,213
12729.34181690216,5356.293477058411,7373.04833984375,0.27293418169021605,6,214
12742.367146492004,6320.455708503723,6421.911437988281,0.27423671464920046,5,217
12670.222767829895,5770.886189460754,6899.336578369141,0.2670222767829895,5,218
12743.443974494934,7862.758366584778,4880.685607910156,0.2743443974494934,4,219
12732.466710090637,7862.758366584778,4869.708343505859,0.27324667100906375,4,219
12747.73848438263,7862.758366584778,4884.980117797852,0.2747738484382629,4,219
12792.804539680481,7862.758366584778,4930.046173095703,0.27928045396804807,4,219
12798.42711353302,7862.758366584778,4935.668746948242,0.279842711353302,4,219
12808.006581306458,7862.758366584778,4945.24821472168,0.28080065813064575,4,219
12793.643727302551,7126.43231678009,5667.211410522461,0.2793643727302551,5,220
12869.812336921692,9018.50557422638,3851.3067626953125,0.2869812336921692,4,222
12863.543110847473,8296.974263191223,4566.56884765625,0.2863543110847473,4,223
12886.119908332825,7578.338398933411,5307.781509399414,0.2886119908332825,4,224
13058.921376228333,9559.135655403137,3499.7857208251953,0.30589213762283324,2,226
13054.84573841095,9559.135655403137,3495.7100830078125,0.30548457384109495,2,226
13084.244297981262,9467.00848865509,3617.235809326172,0.30842442979812623,2,228
13074.127995491028,8785.348484992981,4288.779510498047,0.3074127995491028,3,229
13057.442875862122,7355.578511238098,5701.864364624023,0.30574428758621214,4,231
13021.248188972473,7355.578511238098,5665.669677734375,0.3021248188972473,4,231
12967.629536628723,7355.578511238098,5612.051025390625,0.2967629536628723,4,231
13055.037724494934,7355.578511238098,5699.459213256836,0.3055037724494934,4,231
13126.959797859192,7036.6271867752075,6090.332611083984,0.3126959797859192,3,234
13143.167469978333,7036.6271867752075,6106.540283203125,0.31431674699783324,3,234
13179.392369270325,7036.6271867752075,6142.765182495117,0.31793923692703246,3,234
13167.04543018341,7036.6271867752075,6130.418243408203,0.31670454301834106,3,234
13017.874897956848,6488.73717212677,6529.137725830078,0.3017874897956848,3,235
13004.549580574036,5409.87682056427,7594.672760009766,0.3004549580574036,4,237
13114.949559211731,5409.87682056427,7705.072738647461,0.3114949559211731,4,237
13043.558888435364,5409.87682056427,7633.682067871094,0.30435588884353637,4,237
12885.106511116028,6590.566117286682,6294.540393829346,0.2885106511116028,6,241
12973.018019676208,6372.6111307144165,6600.406888961792,0.29730180196762085,6,244
13208.65205860138,8906.410843849182,4302.241214752197,0.32086520586013795,4,246
13085.495574951172,8906.410843849182,4179.08473110199,0.3085495574951172,4,246
13174.180000305176,9706.972428321838,3467.2075719833374,0.31741800003051757,3,247
